name,jan_fy21,jan_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,49213499,76518719,116599531,139788220,-23188689,671110469,14.8,current
real_estate,1604492,2308201,15652474,23046299,-7393825,20042066,43.9,prior
real_estate,50817991,78826920,132252005,162834519,-30582514,691152535,16.1,total
school_income,139495,265696,17612583,4950767,12661816,29337165,37.5,current
school_income,297104,310792,646931,932005,-285074,809045,44.4,prior
school_income,436599,576488,18259515,5882773,12376742,30146209,37.7,total
use_and_occupancy,16842574,19976589,99123887,111214406,-12090519,45195624,68.7,current
use_and_occupancy,2552956,2231452,4701765,5145777,-444013,1130510,80.6,prior
use_and_occupancy,19395530,22208041,103825652,116360183,-12534531,46326134,69.1,total
liquor,1429679,6887084,14780595,47577579,-32796984,21546248,40.7,current
liquor,444623,1074713,1882740,2631952,-749212,3337283,36.1,prior
liquor,1874302,7961797,16663335,50209531,-33546196,24883531,40.1,total
other_nontax,2000,41153,469820,506474,-36654,5158856,8.3,total
total_revenue,72526422,109614398,271470326,335793479,-64323153,797667267,25.4,total
