sector,num_records,total,parent_sector
General Commercial,32.0,1035465.0,Non-Residential
"Office Buildings, Hotels and Garages",9.0,283167.0,Non-Residential
Industrial,29.0,605224.0,Non-Residential
Other Non-Residential,41.0,751884.0,Non-Residential
Total Non-Residential,111.0,2675740.0,Non-Residential
Condos,163.0,1924730.0,Residential
Apartments,17.0,1175646.0,Residential
Single/Multi-family Homes,2132.0,6247667.0,Residential
Total Residential,2312.0,9348043.0,Residential
Unclassified,59.0,12552.0,
Total,2482.0,12036335.0,
