sector,aug_2018,aug_2017,aug_2016,aug_2015,growth_yoy_2018,growth_yoy_2017,growth_yoy_2016,growth_3yr,net_change,parent_sector
Construction,5762035,5261779,6368192,5297713,9.5,-17.4,20.2,2.8,500256,
Manufacturing,8836422,8102634,9870225,8698110,9.1,-17.9,13.5,0.5,733788,
"Chemicals, Petroleum Refining",1832707,1432547,1592401,1585030,27.9,-10.0,0.5,5.0,400160,Manufacturing
Pharmaceuticals,1434677,1425198,1756956,1496353,0.7,-18.9,17.4,-1.4,9479,Manufacturing
Transportation Equipment,811375,896761,1027496,801073,-9.5,-12.7,28.3,0.4,-85386,Manufacturing
Food & Beverage Products,1309998,1299438,1588761,1147819,0.8,-18.2,38.4,4.5,10560,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",653862,639758,870642,739820,2.2,-26.5,17.7,-4.0,14104,Manufacturing
Metal Manufacturing,903781,671420,782765,706600,34.6,-14.2,10.8,8.6,232361,Manufacturing
Miscellaneous Manufacturing,1890022,1737513,2251204,2221415,8.8,-22.8,1.3,-5.2,152509,Manufacturing
Public Utilities,1090514,1178047,1023541,971462,-7.4,15.1,5.4,3.9,-87534,
Transportation and Warehousing,5782587,5560847,5615691,4465540,4.0,-1.0,25.8,9.0,221740,
Telecommunication,3740683,3325147,3347528,2635466,12.5,-0.7,27.0,12.4,415536,
"Publishing, Broadcasting, and Other Information",1799655,1733418,2083683,1688273,3.8,-16.8,23.4,2.2,66238,
Wholesale Trade,3228790,3198310,4355786,3221521,1.0,-26.6,35.2,0.1,30480,
Retail Trade,7162877,6837081,8456389,6592883,4.8,-19.1,28.3,2.8,325796,
Banking & Credit Unions,2875122,2605202,3389599,2813731,10.4,-23.1,20.5,0.7,269920,
Securities / Financial Investments,3830870,4006386,3659603,3172913,-4.4,9.5,15.3,6.5,-175516,
Insurance,5016533,4821513,5338405,4092420,4.0,-9.7,30.4,7.0,195021,
"Real Estate, Rental and Leasing",2271903,2116144,2793952,1895077,7.4,-24.3,47.4,6.2,155759,
Health and Social Services,35336137,30706428,36757580,28133157,15.1,-16.5,30.7,7.9,4629709,
Hospitals,18805526,15594659,18444326,14888959,20.6,-15.5,23.9,8.1,3210867,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3966726,3790614,4815213,3668306,4.6,-21.3,31.3,2.6,176111,Health and Social Services
Outpatient Care Centers and Other Health Services,5140445,4933805,6229493,4152657,4.2,-20.8,50.0,7.4,206639,Health and Social Services
Nursing & Personal Care Facilities,3482594,3096276,3544484,2843154,12.5,-12.6,24.7,7.0,386318,Health and Social Services
Social Services,3940847,3291074,3724064,2580081,19.7,-11.6,44.3,15.2,649772,Health and Social Services
Education,15678343,15182628,15228105,14058534,3.3,-0.3,8.3,3.7,495716,
College and Universities,12688721,12229168,11780686,11192052,3.8,3.8,5.3,4.3,459553,Education
"Elementary, Secondary Schools",2070965,2069627,2313211,1940516,0.1,-10.5,19.2,2.2,1339,Education
Other Educational Services,918657,883833,1134208,925966,3.9,-22.1,22.5,-0.3,34824,Education
Professional Services,16904022,15354398,19396381,14132518,10.1,-20.8,37.2,6.2,1549624,
Legal Services,5698552,5257343,5756355,4693540,8.4,-8.7,22.6,6.7,441209,Professional Services
Management Consulting,3192153,2936788,3903883,2671202,8.7,-24.8,46.1,6.1,255366,Professional Services
Engineering & Architectural Services,1856059,1658602,2218163,1592357,11.9,-25.2,39.3,5.2,197457,Professional Services
Computer,1518498,1326533,1800799,1248144,14.5,-26.3,44.3,6.8,191965,Professional Services
"Accounting, Auditing, Bookkeeping",1902241,1861623,2038527,1736251,2.2,-8.7,17.4,3.1,40618,Professional Services
Advertising and Other Professional Services,2736518,2313509,3678655,2191023,18.3,-37.1,67.9,7.7,423009,Professional Services
Hotels,1020655,987661,1136242,833092,3.3,-13.1,36.4,7.0,32993,
Restaurants,4189727,4121122,5223265,3348638,1.7,-21.1,56.0,7.8,68606,
Sport Teams,1216740,1487810,1644219,923158,-18.2,-9.5,78.1,9.6,-271069,
"Arts, Entertainment, and Other Recreation",1245402,1242407,1483853,992259,0.2,-16.3,49.5,7.9,2995,
Other Sectors,11010449,10505672,13964525,10037794,4.8,-24.8,39.1,3.1,504776,
Membership Organizations,2914142,2762167,3809416,2889286,5.5,-27.5,31.8,0.3,151976,Other Sectors
Employment/Outsourcing Agencies,2711614,2680951,3025330,2372015,1.1,-11.4,27.5,4.6,30663,Other Sectors
Security and Investigation Services,742290,705442,786133,784381,5.2,-10.3,0.2,-1.8,36848,Other Sectors
Services to Buildings,870630,903253,1304489,1041166,-3.6,-30.8,25.3,-5.8,-32623,Other Sectors
Miscellaneous Sectors,3771773,3453861,5039156,2950946,9.2,-31.5,70.8,8.5,317912,Other Sectors
Government,16157634,18481519,17996259,14337861,-12.6,2.7,25.5,4.1,-2323884,
State Government (PA),1043462,1023468,1146358,1112715,2.0,-10.7,3.0,-2.1,19994,Government
"City, School District, Local Quasi Govt.",10876810,13148290,11601308,8885155,-17.3,13.3,30.6,7.0,-2271480,Government
Federal Government,4044383,4115798,4975927,4180086,-1.7,-17.3,19.0,-1.1,-71414,Government
Other Governments,192979,193963,272666,159906,-0.5,-28.9,70.5,6.5,-984,Government
Unclassified Accounts,222964,196110,236736,122267,13.7,-17.2,93.6,22.2,26854,
