name,dec_fy21,dec_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,28620538,35732789,67386032,63269501,4116531,713460968,8.6,current
real_estate,1889426,3085825,14047982,20738098,-6690116,29822018,32.0,prior
real_estate,30509964,38818614,81434013,84007599,-2573586,743282987,9.9,total
school_income,123767,182691,17473088,4685071,12788017,29476660,37.2,current
school_income,40159,68639,349827,621213,-271386,1106149,24.0,prior
school_income,163926,251331,17822916,5306285,12516631,30582808,36.8,total
use_and_occupancy,14694075,13953609,82281314,91237817,-8956503,62038197,57.0,current
use_and_occupancy,594087,361335,2148808,2914325,-765517,3683467,36.8,prior
use_and_occupancy,15288162,14314944,84430122,94152142,-9722020,65721664,56.2,total
liquor,2094514,7146656,13350916,40690496,-27339580,22975927,36.8,current
liquor,112838,177613,1438117,1557238,-119121,3781906,27.6,prior
liquor,2207352,7324268,14789032,42247734,-27458702,26757834,35.6,total
other_nontax,45772,4619,467820,465321,2499,5160856,8.3,total
total_revenue,48215175,60713776,198943903,226179081,-27235178,871506149,18.6,total
